,inci_as_array
115,"['aqua', ' cetearyl alcohol', ' behentrimonium chloride', ' ppg-3 benzyl ether myristate', ' hydrolyzed pea protein ', ' keratin ', ' hydrolyzed keratin ', ' collagen ', ' hydrolyzed elastin ', ' cetrimonium chloride', ' starch hydroxypropyltrimonium chloride', ' phenoxyethanol', ' benzoic acid', ' dehydroacetic acid', 'parfum', ' butylphenyl methylpropional', ' benzyl salicylate', ' coumarin', ' limonene', ' geraniol', ' linalool', ' hexyl cinnamal.']"
360,['caryodendron orinocense  seed oil']
340,['rosa moschata seed oil']
335,"['aqua', 'cetearyl alcohol', 'myristyl alcohol', 'propylene glycol', 'parfum', 'nigella sativa  seed extract', 'lawsonia inermis  leaf extract', 'cetrimonium chloride', 'magnesium nitrate', 'methylisothiazolinone', 'citric acid']"
155,"['aqua', ' eau)', ' glycerin', ' peg-6 caprylic/capric glycerides', ' guar hydroxypropyltrimonium chloride', ' wheat amino acids', ' hydrolyzed corn protein', ' hydrolyzed soy protein', ' hydrolyzed wheat protein', ' melissa officinalis extract', ' humulus lupulus  extract', ' cymbopogon schoenanthus extract', ' chamomilla recutita  extract', ' rosmarinus officinalis  extract', ' achillea millefolium extract', 'parfum', ' hydroxyethylcellulose', ' peg-40 hydrogenated castor oil', ' diazolidinyl urea', ' sodium benzoate', ' potassium sorbate.']"
525,"['nasturtium officinale powder', 'panicum miliaceum powder', 'equisetum arvense leaf powder', 'medicago sativa powder', 'althaea officinalis  root powder', 'trigonella foenum graecum seed powder', 'betula alba powder']"
230,"['urtica dioica extract', ' propanediol', ' vitis vinifera seed oil', ' persea gratissima  oil', ' mangifera indica seed butter', ' prunus amygdalus dulcis oil', ' oryza sativa bran oil', ' cetearyl alcohol', 'aqua', ' simmondsia chinensis seed oil', ' hydrogenated castor oil/ sebacic acid copolymer', ' glycerin', ' cetyl alcohol', ' phytosterols', ' levulinic acid', 'parfum', ' behentrimonium methosulfate/ cetearyl alcohol', ' stearyl alcohol', ' olea europaea fruit oil', ' argania spinosa kernel oil', ' benzoic acid', ' cynara scolymus leaf extract', ' sorbic acid', ' gluconolactone', ' sodium benzoate', ' calcium gluconate']"
385,['cucumis sativus seed oil']
305,['butyrospermum parkii  butter']
5,"['aqua', ' cetyl alcohol', ' stearyl alcohol', ' linum usitatissimum  seed oil', ' linum usitatissimum  seed extract ', ' prunus amygdalus dulcis  fruit extract ', ' cocos nucifera  fruit extract ', ' avena sativa  kernel extract ', ' panicum miliaceum  seed extract ', ' helianthus annuus  seed extract ', ' hydrolyzed quinoa', ' tocopherol', ' glycerin', ' dipalmitoylethyl hydroxyethylmonium methosulfate', ' benzyl alcohol', ' behenamidopropyl dimethylamine', 'parfum', ' lactic acid', ' benzoic acid', ' dehydroacetic acid', ' coumarin. z kontrolowanych upraw ekologicznych']"
425,['trigonella foenum - graceum  seed oil']
0,"['aqua', 'cetyl alcohol', 'behenamidopropyl dimethylamine', 'butyrospermum parkii  butter', 'sesamum indicum  seed oil ', 'citrus aurantium dulcis  peel oil ', 'citrus limon  peel oil ', 'citrus aurantium dulcis  flower extract ', 'calendula officinalis flower extract ', 'chamomilla recutita  flower extract ', 'citrus limon  peel extract ', 'soy amino acids', 'wheat amino acids', 'arginine hcl', 'serine', 'threonine', 'lactic acid', 'sorbitol', 'benzyl alcohol', 'limonene', 'sodium benzoate', 'sodium dehydroacetate', 'glycerin', 'xanthan gum']"
0,"['aqua', 'cetyl alcohol', 'behenamidopropyl dimethylamine', 'butyrospermum parkii  butter', 'sesamum indicum  seed oil ', 'citrus aurantium dulcis  peel oil ', 'citrus limon  peel oil ', 'citrus aurantium dulcis  flower extract ', 'calendula officinalis flower extract ', 'chamomilla recutita  flower extract ', 'citrus limon  peel extract ', 'soy amino acids', 'wheat amino acids', 'arginine hcl', 'serine', 'threonine', 'lactic acid', 'sorbitol', 'benzyl alcohol', 'limonene', 'sodium benzoate', 'sodium dehydroacetate', 'glycerin', 'xanthan gum']"
375,['rubus idaeus  seed oil']
515,"['aqua', 'glycerin', 'honey', 'aloe barbadensis  leaf juice', 'acrylates copolymer', 'cocos nucifera  oil', 'orbignya oleifera  seed oil', 'butyrospermum parkii  butter', 'maltodextrin/vp copolymer', 'althaea officinalis  root extract', 'pectin', 'parfum', 'zingiber offinale  root oil', 'carbomer', 'xanthan gum', 'dehydroacetic acid', 'benzyl alcohol']"
400,"['aqua', 'cetrimonium chloride', 'cetearyl alcohol', 'myristyl alcohol', 'propylene glycol', 'parfum', 'honey extract', 'hydrogenated castor oil', 'marrow extract', 'egg powder', 'olea europaea  fruit oil', 'magnesium nitrate', 'magnesium chloride', 'methylchloroisothiazolinone', 'methylisothiazolinone', 'citric acid', 'ci 19140', 'ci 42080', 'ci 28440', 'ci 16255', 'ci 14720']"
