,inci,title,peh_class
34,"['Aqua', 'Cetearyl Alcohol', 'Cetrimonium Chloride', 'Aminopropyl Dimethicone', 'Isohexadecane', 'Parfum', 'Magnifera Indica Seed Oil', 'Citric Acid', 'Propylene Glycol', 'Benzyl Alcohol', 'Methylchloroisothiazolinone', 'Methylisothiazolinone']",KALLOS MANGO – popularna maska odżywka,E
35,"['Water (Aqua/Eau)', 'Cetyl Alcohol', 'Cetrimonium Chloride', 'Cetearyl Alcohol', 'Cocos Nucifera (Coconut) Oil', 'Castor Oil', 'Cocos Nucifera (Coconut) Fruit Powder', 'Citrus Reticulata (Tangerine) Fruit Extract', 'Phytosterols', 'PEG-40', 'Parfum', 'Potassium Sorbate', 'Caprylyl Glycol', 'Phenoxyethanol', 'Abies Balsamea (Balsam Canada) Resin', 'Potassium Chloride', 'Limonene']",AS I AM Coconut CoWash Cleansing Cream Conditioner – łagodna odżywka myjąca,E
36,"['Aqua', 'Pvp', 'Acrylates/Hydroxyesters Acrylates Copolymer', 'Acrylates/Steareth-20 Methacrylate Crosspolymer', 'Phenoxyethanol', 'Aminomethyl Propanol', 'PEG-40 Hydrogenated Castor Oil', 'Glycerin', 'DMDM Hydantoin', 'Panthenol', 'Styrax Tonkinensis (Benzoin) Resin Extract', 'Benzoic Acid', 'Ethylhexylglycerin', 'Linalool', 'Limonene', 'Sodium Benzoate', 'Buthylphenyl Methylpropional', 'Alpha Isomethyl Ionone', 'CI 60730']","Żel stylizujący Schwarzkopf, Taft Looks – Irresistible Power, nr 8",E
37,"['Water (Aqua/Eau)', 'Cetearyl Alcohol', 'Simmondsia Chinensis (Jojoba) Seed Oil', 'Ethylhexyl Palmitate', 'Olea Europaea (Olive) Fruit Oil', 'Glyceryl Stearate', 'Astrocaryum Murumuru Seed Butter', 'Argania Spinosa Kernel Oil', 'Butyrospermum Parkii (Shea) Butter', 'Ricinus Communis (Castor) Seed Oil', 'Persea Gratissima (Avocado) Seed Oil', 'Rosa Centifolia Seed Oil', 'Citrus Aurantium Amara (Neroli) Oil', 'Vitamin E (Tocopheryl Acetate)', 'behentrimonium methosulfate', 'Cetrimonium Chloride', 'Biotin', 'Nigella Sativa (Black Cumin) Seed Oil', 'Trigonella Foenum-Graecum (Fenugreek) Seed Extract', 'Phenoxyethanol', 'Ethylhexylglycerin', 'Fragrance']",BOUNCE CURL MOISTURE BALANCE LEAVE-IN CONDITIONER – emolientowa odżywka bez spłukiwania,E
38,"['Linum Usitatissimum (Linseed) Seed Oil', 'Ricinus Communis (Castor) Seed Oil', 'Prunus Amygdalus Dulcis (Sweet Almond) Oil', 'Olea Europaea (Olive) Fruit Oil', 'Persea Gratissima (Avocado) Seed Oil', 'Fragrance (Parfum)']",CANTU FLAXSEED SMOOTHING OIL – mieszanka olejów z olejem lnianym i rycynowym,E
39,['Macadamia Ternifolia Seed Oil'],MOHANI OLEJ MAKADAMIA – do włosów średnioporowatych,E
40,"['Aqua', 'Cetearyl Alcohol', 'Cetrimonium Chloride', 'Citric Acid', 'Propylene Glycol', 'Hydrolyzed Milk Protein', 'Hydrolyzed Keratin', 'Cyclopentasiloxane', 'Dimethiconol', 'Parfum', 'Benzyl Alcohol', 'Methylchloroisothiazolinone', 'Methylisothiazolinone']",KALLOS KERATIN – odbudowująca odżywka do włosów,E
41,['Calophyllum Inophyllum (Tamanu) Seed Oil'],ETJA NIERAFINOWANY ZIMNOTŁOCZONY OLEJ TAMANU – do włosów średnioporowatych,E
42,['Sclerocarya Birrea (Marula) Seed Oil'],ETJA NIERAFINOWANY ZIMNOTŁOCZONY OLEJ MARULA – do włosów wysokoporowatych,E
43,['Punica Granatum Seed Oil'],ETJA NIERAFINOWANY ZIMNOTŁOCZONY OLEJ Z PESTEK GRANATU – do włosów wysokoporowatych i średnioporowatych,E
44,"['Octyldodecanol', 'Argania Spinosa Kernel Oil', 'Acorus Calamus Extract', 'Organic Avocado Extract', 'Isododecane and Hydrogenerated Tetradecenyl/Methylpentadecene', 'Zingiber Officinale Extract', 'Myristica Argentea Essential Oil', 'Cinnamonum Verum Essential Oil', 'Tocopherol', 'Perfume', 'Linalool', 'Citronellol', 'Limonene', 'Geraniol', 'Eugenol', 'Citral']",ECO LABORATORIE ARGAN SPA – olej fluid do bardzo zniszczonych i farbowanych włosów,E
45,['Adansonia Digitata (Baobab) Seed Oil'],ETJA NIERAFINOWANY ZIMNOTŁOCZONY OLEJ Z NASION BAOBABU – do włosów średnioporowatych,E
46,"['Helianthus Annuus (Sunflower) Seed Oil', 'Argania Spinosa (Argan) Kernel Oil', 'Arctium Lappa (Burdock) Root Extract', 'BHT']","Green Pharmacy, Elfa Pharm – wzmacniający olejek łopianowy na porost włosów z arganem",E
47,['Citrullus Vulgaris (Watermelon) Seed Oil'],ETJA NIERAFINOWANY ZIMNOTŁOCZONY OLEJ Z PESTEK ARBUZA – do włosów wysokoporowatych,E
48,['Borago Officinalis Seed Oil'],ETJA NIERAFINOWANY ZIMNOTŁOCZONY OLEJ Z OGÓRECZNIKA LEKARSKIEGO – do włosów wysokoporowatych,E
49,['Prunus Amygdalus Dulcis (Sweet Almond) Oil'],"MOHANI OLEJ ZE SŁODKICH MIGDAŁÓW – do średnioporowatych, cienkich i delikatnych włosów",E
50,"['Aqua (Water)', 'Polyvinylpyrrolidone', 'Pvp', 'Parfum (Fragrance)', 'Polyquaternium-37', 'Butyrospermum Parkii (Shea) Butter', 'Phenoxyethanol', 'Ethylhexylglycerin', 'Canola Oil', 'Glycine Soja (Soybean) Seed Oil', 'Cocos Nucifera (Coconut) Fruit Extract', 'Cocos Nucifera (Coconut) Oil', 'Persea Gratissima (Avocado) Seed Oil', 'Prunus Amygdalus Dulcis (Sweet Almond) Oil', 'Simmondsia Chinensis (Jojoba) Seed Oil', 'Olea Europaea (Olive) Fruit Oil', 'Argania Spinosa (Argan) Kernel Oil', 'Melia Azadirachta (Neem) Seed Oil', 'Daucus Carota Sativa (Carrot) Seed Oil', 'Macadamia Ternifolia Seed Oil', 'Mangifera Indica (Mango) Seed Oil', 'Vitis Vinifera (Grape) Seed Oil', 'Hydrolyzed Silk', 'Lonicera Japonica (Honeysuckle) Flower Extract', 'Macrocystis Pyrifera (Kelp) Extract', 'Salvia Officinalis (Sage) Leaf Extract', 'Urtica Dioica (Nettle) Leaf Extract', 'Silk Amino Acids', 'Aloe Barbadensis (Aloe Vera) Leaf Extract']",CANTU TWIST LOCK GEL – żel do stylizacji loków,E
51,['Cucurbita Pepo (Pumpkin) Seed Oil'],"Your Natural Side – nierafinowany olej z nasion dyni, do włosów wysokoporowatych",E
52,['Ricinus Communis (Castor) Seed Oil'],Your Natural Side – nierafinowany olej rycynowy na porost i do skóry głowy z łupieżem,E
53,['Rubus Idaeus (Raspberry) Seed Oil'],"Your Natural Side – nierafinowany olej z nasion malin, do włosów wysokoporowatych",E
54,['Moringa Oleifera Seed Oil'],ETJA NIERAFINOWANY ZIMNOTŁOCZONY OLEJ MORINGA – do włosów średnioporowatych,E
55,"['Argania Spinosa Kernel Oil', 'Macadamia Ternifolia Seed Oil', 'Parfum', 'PEG-8', 'Tocopherol', 'Ascorbyl Palmitate', 'Ascorbic Acid', 'Citric Acid']",ELFA PHARM VIS PLANTIS OLEJ ARGANOWY – wzbogacony olejem makadamia,E
56,"['Glycerin', 'Water (Aqua/Eau)', 'Butylene Glycol', 'PEG-8', 'PPG-5-Ceteth-20', 'Parfum', 'Phenoxyethanol', 'Carbomer', 'Aminomethyl Propanol (Water Soluble)', 'Butyrospermum Parkii (Shea) Butter', 'Argania Spinosa Kernel Oil', 'Simmondsia Chinensis (Jojoba) Seed Oil', 'Tocopheryl Acetate', 'ALEURITES MOLUCCANA (KUKUI) SEED OIL']",CANTU Dry Deny Moisture Seal Gel Oil – wygładzające serum do końcówek,E
57,['Laurus Nobilis Fruit Oil'],ETJA NIERAFINOWANY ZIMNOTŁOCZONY OLEJ LAUROWY – do włosów niskoporowatych,E
58,['Corylus Avellana Seed Oil'],ETJA NIERAFINOWANY ZIMNOTŁOCZONY OLEJ Z ORZECHÓW LASKOWYCH – do włosów wysokoporowatych i średnioporowatych,E
59,['Coffea Arabica Seed Oil'],ETJA NIERAFINOWANY ZIMNOTŁOCZONY OLEJ Z NASION KAWY – do włosów wysokoporowatych,E
60,['Oenothera Biennis Oil'],ETJA ZIMNOTŁOCZONY OLEJ Z WIESIOŁKA – do włosów wysokoporowatych,E
61,['Nigella Sativa (Black Cumin) Seed Oil'],"ETJA NIERAFINOWANY, ZIMNOTŁOCZONY OLEJ Z CZARNUSZKI (CZARNEGO KMINU) – do włosów wysokoporowatych",E
62,['Ricinus Communis (Castor) Seed Oil'],ETJA NIERAFINOWANY ZIMNOTŁOCZONY OLEJ RYCYNOWY – do włosów niskoporowatych i średnioporowatych,E
63,['Carthamus Tinctorius Seed Oil'],ETJA NIERAFINOWANY ZIMNOTŁOCZONY OLEJ KROKOSZOWY BIO – do włosów wysokoporowatych,E
64,"['Aqua', 'Cetearyl Alcohol', 'Myristyl Alcohol', 'Propylene Glycol', 'Parfum', 'Nigella Sativa (Black Cumin) Seed Extract', 'Lawsonia Inermis (Henna) Leaf Extract', 'Cetrimonium Chloride', 'Magnesium Nitrate', 'Methylisothiazolinone', 'Citric Acid']",VATIKA Z CZARNUSZKĄ – emolientowa maska do włosów zniszczonych,E
65,"['Octyldodecanol', 'Shea Butter Ethyl Esters', 'Salvia Officinalis (Sage) Leaf Extract', 'Organic Ginkgo Biloba Extract', 'Isododecane and Hydrogenerated Tetradecenyl/Methylpentadecene', 'Aesculus Hippocastanum Extract', 'Zingiber Officinale Extract', 'Aniba Rosaeodora Essential Oil', 'Geranium Essential Oil', 'Tocopherol', 'Perfume', 'Linalool', 'Citronellol', 'Limonene', 'Geraniol', 'Eugenol', 'Citral']",ECO LABORATORIE KARITE SPA – olej fluid do suchych włosów,E
66,"['Arnica Montana (Mountain Arnica) Flower Extract', 'Helianthus Annuus (Sunflower) Seed Oil']","Your Natural Side – kojący macerat z arniki górskiej, dla wrażliwej i podrażnionej skóry głowy",E
67,['Simmondsia Chinensis (Jojoba) Seed Oil'],ETJA NIERAFINOWANY ZIMNOTŁOCZONY OLEJ JOJOBA GOLD BIO – do włosów wysokoporowatych i średnioporowatych,E
68,['Rosa Moschata Seed Oil'],ETJA ZIMNOTŁOCZONY OLEJ Z NASION DZIKIEJ RÓŻY – do włosów wysokoporowatych,E
69,['Fragaria Ananassa Seed Oil'],ETJA NIERAFINOWANY ZIMNOTŁOCZONY OLEJ Z NASION TRUSKAWKI – do włosów wysokoporowatych,E
70,['Fragaria Ananassa Seed Oil'],MOHANI OLEJ Z PESTEK TRUSKAWEK – do włosów wysokoporowatych,E
71,['Persea Gratissima (Avocado) Seed Oil'],MOHANI OLEJ AWOKADO – idealny do włosów średnioporowatych,E
72,['Rubus Idaeus (Raspberry) Seed Oil'],ETJA NIERAFINOWANY ZIMNOTŁOCZONY OLEJ Z NASION MALIN – do włosów wysokoporowatych,E
73,['Pisatcia Vera Seed Oil'],ETJA ZIMNOTŁOCZONY OLEJ PISTACJOWY – do włosów wysokoporowatych i średnioporowatych,E
74,['Perilla Ocymoides Seed Oil'],ETJA NIERAFINOWANY ZIMNOTŁOCZONY OLEJ PERILLA Z PACHNOTKI – do włosów średnioporowatych,E
75,['Persea Gratissima (Avocado) Seed Oil'],ETJA NIERAFINOWANY ZIMNOTŁOCZONY OLEJ AWOKADO BIO – do włosów średnioporowatych,E
76,['Prunus Armeniaca (Apricot) Seed Oil'],ETJA NIERAFINOWANY ZIMNOTŁOCZONY OLEJ Z PESTEK MORELI – do włosów wysokoporowatych i średnioporowatych,E
77,"['Aqua', 'Cetearyl Alcohol', 'Myristyl Alcohol', 'Distearoylethyl Dimonium Chloride', 'Pyrus Cydonia Fruit Extract', 'Cucurbita Maxima Fruit Extract', 'Myristyl Lactate', 'Lauryl Alcohol', 'Dicaprylyl Ether', 'Glyceryl Laurate', 'Fragrance (Parfum)', 'Citric Acid', 'Tocopherol', 'Sodium Benzoate', 'Potassium Sorbate', 'Benzyl Alcohol', 'Linalool', 'Geraniol']",INSIGHT SENSITIVE SKIN MASK – emolientowa maska z pigwą i grejphfrutem,E
78,['Squalane'],"Natura Receptura – bio skwalan z oliwek, ultralekki olej – naturalne serum",E
79,['Prunus Persica (Peach) Seed Oil'],ETJA ZIMNOTŁOCZONY OLEJ Z PESTEK BRZOSKWINI – do włosów średnioporowatych,E
80,['Melia Azadirachta (Neem) Seed Oil'],"ETJA – NIERAFINOWANY, ZIMNOTŁOCZONY OLEJ NEEM, DO WŁOSÓW WYSOKOPOROWATYCH",E
81,['Cannabis Sativa (Hemp) Seed Oil'],"ETJA NIERAFINOWANY, ZIMNOTŁOCZONY OLEJ KONOPNY BIO – do włosów wysokoporowatych",E
82,['Cucurbita Pepo (Pumpkin) Seed Oil'],"ETJA NIERAFINOWANY, ZIMNOTŁOCZONY OLEJ Z PESTEK DYNI – do włosów wysokoporowatych i średnioporowatych",E
83,['Linum Usitatissimum (Linseed) Seed Oil'],ETJA NIERAFINOWANY ZIMNOTŁOCZONY OLEJ LNIANY BIO – do włosów wysokoporowatych,E
